state,year,quarter,year_quarter,transaction_type,"transaction_count
",transaction_amount,avg_transaction_value,Region
Dadra and Nagar Haveli and Daman and Diu,2022,Q3,2022-Q3,Peer-to-peer payments,2086741,5382949597.51,2580,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,Q3,2022-Q3,Recharge & bill payments,592431,425206924.53,718,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,Q3,2022-Q3,Financial Services,2237,3194409.94,1428,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,Q3,2022-Q3,Others,7056,3729425.46,529,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,Q4,2022-Q4,Merchant payments,4415771,1889046056.20,428,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,Q4,2022-Q4,Peer-to-peer payments,2215052,5737539058.40,2590,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,Q4,2022-Q4,Recharge & bill payments,548795,426040023.11,776,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,Q4,2022-Q4,Financial Services,2495,3169199.26,1270,Western Region
Dadra and Nagar Haveli and Daman and Diu,2022,Q4,2022-Q4,Others,7472,3846409.11,515,Western Region
Delhi,2018,Q1,2018-Q1,Recharge & bill payments,3947297,1320559612.77,335,Northern Region
Delhi,2018,Q1,2018-Q1,Peer-to-peer payments,2380820,9125685134.89,3833,Northern Region
Delhi,2018,Q1,2018-Q1,Merchant payments,339809,375393115.19,1105,Northern Region
Delhi,2018,Q1,2018-Q1,Financial Services,136240,45588429.27,335,Northern Region
Delhi,2018,Q1,2018-Q1,Others,318588,344277514.79,1081,Northern Region
Delhi,2018,Q2,2018-Q2,Recharge & bill payments,4511737,2078183615.80,461,Northern Region
Delhi,2018,Q2,2018-Q2,Peer-to-peer payments,3542716,14348179103.11,4050,Northern Region
Delhi,2018,Q2,2018-Q2,Merchant payments,837001,631597790.60,755,Northern Region
Delhi,2018,Q2,2018-Q2,Financial Services,205991,66584728.20,323,Northern Region
Delhi,2018,Q2,2018-Q2,Others,276278,321754664.50,1165,Northern Region
Delhi,2018,Q3,2018-Q3,Peer-to-peer payments,8557153,22670122888.87,2649,Northern Region
Delhi,2018,Q3,2018-Q3,Recharge & bill payments,5305635,3261844270.54,615,Northern Region
Delhi,2018,Q3,2018-Q3,Merchant payments,3808395,1048422633.71,275,Northern Region
Delhi,2018,Q3,2018-Q3,Financial Services,274526,45051151.35,164,Northern Region
Delhi,2018,Q3,2018-Q3,Others,601339,350405916.15,583,Northern Region
Delhi,2018,Q4,2018-Q4,Peer-to-peer payments,9973249,32389252494.76,3248,Northern Region
Delhi,2018,Q4,2018-Q4,Merchant payments,9958967,2738429838.94,275,Northern Region
Delhi,2018,Q4,2018-Q4,Recharge & bill payments,7483633,3961160542.57,529,Northern Region
Delhi,2018,Q4,2018-Q4,Financial Services,265004,58162003.44,219,Northern Region
Delhi,2018,Q4,2018-Q4,Others,1506866,575852739.00,382,Northern Region
Delhi,2019,Q1,2019-Q1,Peer-to-peer payments,20216287,48250023720.99,2387,Northern Region
Delhi,2019,Q1,2019-Q1,Merchant payments,13875931,3996618719.80,288,Northern Region
Delhi,2019,Q1,2019-Q1,Recharge & bill payments,10744978,5521320539.36,514,Northern Region
Delhi,2019,Q1,2019-Q1,Financial Services,223095,30997039.70,139,Northern Region
Delhi,2019,Q1,2019-Q1,Others,1947036,670171769.65,344,Northern Region
Delhi,2019,Q2,2019-Q2,Merchant payments,20891431,6816878922.84,326,Northern Region
Delhi,2019,Q2,2019-Q2,Peer-to-peer payments,20570311,65953571241.26,3206,Northern Region
Delhi,2019,Q2,2019-Q2,Recharge & bill payments,12869453,8035701902.39,624,Northern Region
Delhi,2019,Q2,2019-Q2,Financial Services,137774,33985068.68,247,Northern Region
Delhi,2019,Q2,2019-Q2,Others,2702543,866678928.44,321,Northern Region
Delhi,2019,Q3,2019-Q3,Merchant payments,29453368,9857221391.94,335,Northern Region
Delhi,2019,Q3,2019-Q3,Peer-to-peer payments,25201978,81904443496.30,3250,Northern Region
Delhi,2019,Q3,2019-Q3,Recharge & bill payments,11133404,10406524192.88,935,Northern Region
Delhi,2019,Q3,2019-Q3,Financial Services,92061,27952186.99,304,Northern Region
Delhi,2019,Q3,2019-Q3,Others,3657065,1000670778.35,274,Northern Region
Delhi,2019,Q4,2019-Q4,Peer-to-peer payments,33040093,105858524152.38,3204,Northern Region
Delhi,2019,Q4,2019-Q4,Merchant payments,32537378,12864577363.07,395,Northern Region
Delhi,2019,Q4,2019-Q4,Recharge & bill payments,11609898,9500486080.99,818,Northern Region
Delhi,2019,Q4,2019-Q4,Financial Services,57063,21512527.97,377,Northern Region
Delhi,2019,Q4,2019-Q4,Others,3500565,779367300.47,223,Northern Region
Delhi,2020,Q1,2020-Q1,Merchant payments,33951545,14470782771.05,426,Northern Region
Delhi,2020,Q1,2020-Q1,Peer-to-peer payments,32410795,108987600006.37,3363,Northern Region
Delhi,2020,Q1,2020-Q1,Recharge & bill payments,12822919,9498791147.93,741,Northern Region
Delhi,2020,Q1,2020-Q1,Financial Services,46529,39908838.25,858,Northern Region
Delhi,2020,Q1,2020-Q1,Others,2515816,619460878.99,246,Northern Region
Delhi,2020,Q2,2020-Q2,Peer-to-peer payments,27155938,86227124454.10,3175,Northern Region
Delhi,2020,Q2,2020-Q2,Merchant payments,24963931,12708327043.87,509,Northern Region
Delhi,2020,Q2,2020-Q2,Recharge & bill payments,13568505,8699886044.04,641,Northern Region
Delhi,2020,Q2,2020-Q2,Financial Services,64790,75405868.16,1164,Northern Region
Delhi,2020,Q2,2020-Q2,Others,288854,162694793.16,563,Northern Region
Delhi,2020,Q3,2020-Q3,Peer-to-peer payments,41498638,140074023548.16,3375,Northern Region
Delhi,2020,Q3,2020-Q3,Merchant payments,40973792,21858176583.06,533,Northern Region
Delhi,2020,Q3,2020-Q3,Recharge & bill payments,13448341,12883226305.34,958,Northern Region
Delhi,2020,Q3,2020-Q3,Financial Services,85689,114341865.26,1334,Northern Region
Delhi,2020,Q3,2020-Q3,Others,485401,234194502.84,482,Northern Region
Delhi,2020,Q4,2020-Q4,Merchant payments,54581166,31106554562.80,570,Northern Region
Delhi,2020,Q4,2020-Q4,Peer-to-peer payments,49631928,171546055992.15,3456,Northern Region
Delhi,2020,Q4,2020-Q4,Recharge & bill payments,14862946,12921793576.58,869,Northern Region
Delhi,2020,Q4,2020-Q4,Financial Services,114862,160007919.77,1393,Northern Region
Delhi,2020,Q4,2020-Q4,Others,1349515,530676173.25,393,Northern Region
Delhi,2021,Q1,2021-Q1,Merchant payments,72615587,39861532639.01,549,Northern Region
Delhi,2021,Q1,2021-Q1,Peer-to-peer payments,61957428,210823551741.41,3403,Northern Region
Delhi,2021,Q1,2021-Q1,Recharge & bill payments,21164274,15447408658.78,730,Northern Region
Delhi,2021,Q1,2021-Q1,Financial Services,153039,203106852.42,1327,Northern Region
Delhi,2021,Q1,2021-Q1,Others,1468676,592745151.87,404,Northern Region
Delhi,2021,Q2,2021-Q2,Merchant payments,75620295,42933366743.24,568,Northern Region
Delhi,2021,Q2,2021-Q2,Peer-to-peer payments,68497718,223034955527.75,3256,Northern Region
Delhi,2021,Q2,2021-Q2,Recharge & bill payments,25026678,15310096462.75,612,Northern Region
Delhi,2021,Q2,2021-Q2,Financial Services,158170,190019761.50,1201,Northern Region
Delhi,2021,Q2,2021-Q2,Others,854403,472659189.31,553,Northern Region
Delhi,2021,Q3,2021-Q3,Merchant payments,115250887,64006915630.53,555,Northern Region
Delhi,2021,Q3,2021-Q3,Peer-to-peer payments,93292876,298005532606.47,3194,Northern Region
Delhi,2021,Q3,2021-Q3,Recharge & bill payments,28427032,20934734871.91,736,Northern Region
Delhi,2021,Q3,2021-Q3,Financial Services,144460,220660990.22,1527,Northern Region
Delhi,2021,Q3,2021-Q3,Others,1645353,690472449.15,420,Northern Region
Delhi,2021,Q4,2021-Q4,Merchant payments,149204611,88990516304.07,596,Northern Region
Delhi,2021,Q4,2021-Q4,Peer-to-peer payments,112380292,376556972334.16,3351,Northern Region
Delhi,2021,Q4,2021-Q4,Recharge & bill payments,30127352,22290161823.25,740,Northern Region
Delhi,2021,Q4,2021-Q4,Financial Services,199280,287950130.25,1445,Northern Region
Delhi,2021,Q4,2021-Q4,Others,771824,569713470.66,738,Northern Region
Delhi,2022,Q1,2022-Q1,Merchant payments,174454937,98212381475.57,563,Northern Region
Delhi,2022,Q1,2022-Q1,Peer-to-peer payments,125111881,415305045689.31,3319,Northern Region
Delhi,2022,Q1,2022-Q1,Recharge & bill payments,29435981,22482865572.90,764,Northern Region
Delhi,2022,Q1,2022-Q1,Financial Services,195184,271039329.11,1389,Northern Region
Delhi,2022,Q1,2022-Q1,Others,1801878,693588769.39,385,Northern Region
Delhi,2022,Q2,2022-Q2,Merchant payments,233412802,121657706565.01,521,Northern Region
Delhi,2022,Q2,2022-Q2,Peer-to-peer payments,143447534,480685895058.71,3351,Northern Region
Delhi,2022,Q2,2022-Q2,Recharge & bill payments,32971294,26876059610.02,815,Northern Region
Delhi,2022,Q2,2022-Q2,Financial Services,160827,209425798.82,1302,Northern Region
Delhi,2022,Q2,2022-Q2,Others,641727,426563425.65,665,Northern Region
Delhi,2022,Q3,2022-Q3,Merchant payments,276635347,134292748569.06,485,Northern Region
Delhi,2022,Q3,2022-Q3,Peer-to-peer payments,160580425,509428627035.34,3172,Northern Region
Delhi,2022,Q3,2022-Q3,Recharge & bill payments,37572389,33177115465.46,883,Northern Region
Delhi,2022,Q3,2022-Q3,Financial Services,195218,265479580.42,1360,Northern Region
Delhi,2022,Q3,2022-Q3,Others,608782,448676465.83,737,Northern Region
Delhi,2022,Q4,2022-Q4,Merchant payments,305621913,153114813286.24,501,Northern Region
Delhi,2022,Q4,2022-Q4,Peer-to-peer payments,171970100,559069397370.86,3251,Northern Region
Delhi,2022,Q4,2022-Q4,Recharge & bill payments,36775874,31954251758.09,869,Northern Region
Delhi,2022,Q4,2022-Q4,Financial Services,228639,299454652.78,1310,Northern Region
Delhi,2022,Q4,2022-Q4,Others,606931,477098950.60,786,Northern Region
Goa,2018,Q1,2018-Q1,Recharge & bill payments,85991,18273814.16,213,Southern Region
Goa,2018,Q1,2018-Q1,Peer-to-peer payments,59651,268175048.07,4496,Southern Region
Goa,2018,Q1,2018-Q1,Merchant payments,7880,11036031.74,1401,Southern Region
Goa,2018,Q1,2018-Q1,Financial Services,1191,520105.64,437,Southern Region
Goa,2018,Q1,2018-Q1,Others,6184,5851742.73,946,Southern Region
Goa,2018,Q2,2018-Q2,Recharge & bill payments,120943,30994284.17,256,Southern Region
Goa,2018,Q2,2018-Q2,Peer-to-peer payments,87878,419492232.52,4774,Southern Region
Goa,2018,Q2,2018-Q2,Merchant payments,12456,20162855.71,1619,Southern Region
Goa,2018,Q2,2018-Q2,Financial Services,1903,733429.43,385,Southern Region
Goa,2018,Q2,2018-Q2,Others,6395,7221023.53,1129,Southern Region
Goa,2018,Q3,2018-Q3,Recharge & bill payments,158797,40314972.94,254,Southern Region
Goa,2018,Q3,2018-Q3,Peer-to-peer payments,150297,639468418.13,4255,Southern Region
Goa,2018,Q3,2018-Q3,Merchant payments,21587,26634198.18,1234,Southern Region
Goa,2018,Q3,2018-Q3,Financial Services,1867,468171.36,251,Southern Region
Goa,2018,Q3,2018-Q3,Others,6963,6281208.62,902,Southern Region
Goa,2018,Q4,2018-Q4,Peer-to-peer payments,246426,1021902315.44,4147,Southern Region
Goa,2018,Q4,2018-Q4,Recharge & bill payments,212122,54832855.89,258,Southern Region
Goa,2018,Q4,2018-Q4,Merchant payments,45586,66666113.92,1462,Southern Region
Goa,2018,Q4,2018-Q4,Financial Services,2523,723599.23,287,Southern Region
Goa,2018,Q4,2018-Q4,Others,8098,8880194.43,1097,Southern Region
Goa,2019,Q1,2019-Q1,Peer-to-peer payments,378848,1310759847.81,3460,Southern Region
Goa,2019,Q1,2019-Q1,Recharge & bill payments,275277,78212835.04,284,Southern Region
Goa,2019,Q1,2019-Q1,Merchant payments,74527,75946974.41,1019,Southern Region
Goa,2019,Q1,2019-Q1,Financial Services,2013,499592.10,248,Southern Region
Goa,2019,Q1,2019-Q1,Others,8147,9904147.91,1216,Southern Region
Goa,2019,Q2,2019-Q2,Peer-to-peer payments,373759,1391933790.75,3724,Southern Region
Goa,2019,Q2,2019-Q2,Recharge & bill payments,278060,93218689.42,335,Southern Region
Goa,2019,Q2,2019-Q2,Merchant payments,104592,92873008.65,888,Southern Region
Goa,2019,Q2,2019-Q2,Financial Services,1211,515859.81,426,Southern Region
Goa,2019,Q2,2019-Q2,Others,10819,13325754.76,1232,Southern Region
Goa,2019,Q3,2019-Q3,Peer-to-peer payments,475178,1704668027.02,3587,Southern Region
Goa,2019,Q3,2019-Q3,Recharge & bill payments,453806,157952854.95,348,Southern Region
Goa,2019,Q3,2019-Q3,Merchant payments,150578,123948570.57,823,Southern Region
Goa,2019,Q3,2019-Q3,Financial Services,1510,1282344.84,849,Southern Region
Goa,2019,Q3,2019-Q3,Others,11344,12515394.12,1103,Southern Region
Goa,2019,Q4,2019-Q4,Peer-to-peer payments,698728,2484453030.32,3556,Southern Region
Goa,2019,Q4,2019-Q4,Recharge & bill payments,552421,205602115.15,372,Southern Region
Goa,2019,Q4,2019-Q4,Merchant payments,250893,218404664.86,871,Southern Region
Goa,2019,Q4,2019-Q4,Financial Services,1497,649712.85,434,Southern Region
Goa,2019,Q4,2019-Q4,Others,11733,14350825.33,1223,Southern Region
Goa,2020,Q1,2020-Q1,Peer-to-peer payments,817198,2851686768.65,3490,Southern Region
Goa,2020,Q1,2020-Q1,Recharge & bill payments,678079,244739382.21,361,Southern Region
Goa,2020,Q1,2020-Q1,Merchant payments,373110,298421548.10,800,Southern Region
Goa,2020,Q1,2020-Q1,Financial Services,1762,1816477.57,1031,Southern Region
Goa,2020,Q1,2020-Q1,Others,11088,13707055.39,1236,Southern Region
Goa,2020,Q2,2020-Q2,Recharge & bill payments,758617,241196540.94,318,Southern Region
Goa,2020,Q2,2020-Q2,Peer-to-peer payments,493326,1766723888.20,3581,Southern Region
Goa,2020,Q2,2020-Q2,Merchant payments,221358,168591711.95,762,Southern Region
Goa,2020,Q2,2020-Q2,Financial Services,3081,3328361.32,1080,Southern Region
Goa,2020,Q2,2020-Q2,Others,5710,3775927.61,661,Southern Region
Goa,2020,Q3,2020-Q3,Peer-to-peer payments,759351,2723430713.34,3587,Southern Region
Goa,2020,Q3,2020-Q3,Recharge & bill payments,696770,280187505.03,402,Southern Region
Goa,2020,Q3,2020-Q3,Merchant payments,446880,353193881.48,790,Southern Region
Goa,2020,Q3,2020-Q3,Financial Services,4985,6418950.47,1288,Southern Region
Goa,2020,Q3,2020-Q3,Others,7545,5112530.62,678,Southern Region
Goa,2020,Q4,2020-Q4,Peer-to-peer payments,1550251,5407626413.04,3488,Southern Region
Goa,2020,Q4,2020-Q4,Merchant payments,1389834,1123844212.52,809,Southern Region
Goa,2020,Q4,2020-Q4,Recharge & bill payments,839199,345088772.38,411,Southern Region
Goa,2020,Q4,2020-Q4,Financial Services,7287,10386560.39,1425,Southern Region
Goa,2020,Q4,2020-Q4,Others,14810,12846789.25,867,Southern Region
Goa,2021,Q1,2021-Q1,Peer-to-peer payments,2235456,7553384653.17,3379,Southern Region
Goa,2021,Q1,2021-Q1,Merchant payments,2195509,1768358976.72,805,Southern Region
Goa,2021,Q1,2021-Q1,Recharge & bill payments,880682,410604192.73,466,Southern Region
Goa,2021,Q1,2021-Q1,Financial Services,8138,12207778.15,1500,Southern Region
Goa,2021,Q1,2021-Q1,Others,11764,12687278.26,1078,Southern Region
Goa,2021,Q2,2021-Q2,Merchant payments,1869384,1411529033.67,755,Southern Region
Goa,2021,Q2,2021-Q2,Peer-to-peer payments,1866837,6195032351.18,3318,Southern Region
Goa,2021,Q2,2021-Q2,Recharge & bill payments,953219,383804809.36,403,Southern Region
Goa,2021,Q2,2021-Q2,Financial Services,8303,12371843.84,1490,Southern Region
Goa,2021,Q2,2021-Q2,Others,12392,10115549.03,816,Southern Region
Goa,2021,Q3,2021-Q3,Merchant payments,2865625,2143135314.90,748,Southern Region
Goa,2021,Q3,2021-Q3,Peer-to-peer payments,2560305,7871092673.14,3074,Southern Region
Goa,2021,Q3,2021-Q3,Recharge & bill payments,1017351,438838003.23,431,Southern Region
Goa,2021,Q3,2021-Q3,Financial Services,8337,12943224.07,1553,Southern Region
Goa,2021,Q3,2021-Q3,Others,16145,12416377.60,769,Southern Region
Goa,2021,Q4,2021-Q4,Merchant payments,5474662,4384250602.94,801,Southern Region
Goa,2021,Q4,2021-Q4,Peer-to-peer payments,4408822,13618351952.67,3089,Southern Region
Goa,2021,Q4,2021-Q4,Recharge & bill payments,1170180,585734312.41,501,Southern Region
Goa,2021,Q4,2021-Q4,Financial Services,11320,17101084.66,1511,Southern Region
Goa,2021,Q4,2021-Q4,Others,23775,21819163.20,918,Southern Region
Goa,2022,Q1,2022-Q1,Merchant payments,6364271,4682000388.39,736,Southern Region
Goa,2022,Q1,2022-Q1,Peer-to-peer payments,4640380,14449830641.56,3114,Southern Region
Goa,2022,Q1,2022-Q1,Recharge & bill payments,1177071,646403472.11,549,Southern Region
Goa,2022,Q1,2022-Q1,Financial Services,11677,17490493.19,1498,Southern Region
Goa,2022,Q1,2022-Q1,Others,20699,20720407.60,1001,Southern Region
Goa,2022,Q2,2022-Q2,Merchant payments,7812998,5736211013.69,734,Southern Region
Goa,2022,Q2,2022-Q2,Peer-to-peer payments,5097942,16372343177.23,3212,Southern Region
Goa,2022,Q2,2022-Q2,Recharge & bill payments,1279377,738765635.28,577,Southern Region
Goa,2022,Q2,2022-Q2,Financial Services,10666,13192736.03,1237,Southern Region
Goa,2022,Q2,2022-Q2,Others,15071,12525197.30,831,Southern Region
Goa,2022,Q3,2022-Q3,Merchant payments,7595135,5112175255.36,673,Southern Region
Goa,2022,Q3,2022-Q3,Peer-to-peer payments,4449008,13780955270.35,3098,Southern Region
Goa,2022,Q3,2022-Q3,Recharge & bill payments,1122869,657115143.54,585,Southern Region
Goa,2022,Q3,2022-Q3,Financial Services,9992,12650738.42,1266,Southern Region
Goa,2022,Q3,2022-Q3,Others,11683,11368868.04,973,Southern Region
Goa,2022,Q4,2022-Q4,Merchant payments,10319138,6739205748.43,653,Southern Region
Goa,2022,Q4,2022-Q4,Peer-to-peer payments,5652373,17421974714.96,3082,Southern Region
Goa,2022,Q4,2022-Q4,Recharge & bill payments,1195865,734121700.64,614,Southern Region
Goa,2022,Q4,2022-Q4,Financial Services,12147,15705663.13,1293,Southern Region
Goa,2022,Q4,2022-Q4,Others,13151,13978544.18,1063,Southern Region
Gujarat,2018,Q1,2018-Q1,Recharge & bill payments,3691952,878929080.99,238,Western Region
Gujarat,2018,Q1,2018-Q1,Peer-to-peer payments,1738974,6318864759.89,3634,Western Region
Gujarat,2018,Q1,2018-Q1,Merchant payments,145436,166036667.57,1142,Western Region
Gujarat,2018,Q1,2018-Q1,Financial Services,122117,27986679.01,229,Western Region
Gujarat,2018,Q1,2018-Q1,Others,250296,186165067.57,744,Western Region
Gujarat,2018,Q2,2018-Q2,Recharge & bill payments,4643367,1571880396.38,339,Western Region
Gujarat,2018,Q2,2018-Q2,Peer-to-peer payments,2483231,10009680530.39,4031,Western Region
Gujarat,2018,Q2,2018-Q2,Merchant payments,275503,356984574.12,1296,Western Region
Gujarat,2018,Q2,2018-Q2,Financial Services,140704,38598263.23,274,Western Region
Gujarat,2018,Q2,2018-Q2,Others,202928,185541007.53,914,Western Region
Gujarat,2018,Q3,2018-Q3,Peer-to-peer payments,5287200,15272745137.76,2889,Western Region
Gujarat,2018,Q3,2018-Q3,Recharge & bill payments,5117168,1938041688.97,379,Western Region
Gujarat,2018,Q3,2018-Q3,Merchant payments,573440,466209496.80,813,Western Region
Gujarat,2018,Q3,2018-Q3,Financial Services,136468,24930605.61,183,Western Region
Gujarat,2018,Q3,2018-Q3,Others,219873,164477497.14,748,Western Region
Gujarat,2018,Q4,2018-Q4,Peer-to-peer payments,6488202,21207285184.78,3269,Western Region
Gujarat,2018,Q4,2018-Q4,Recharge & bill payments,6138404,2297332323.08,374,Western Region
Gujarat,2018,Q4,2018-Q4,Merchant payments,1656377,1088373316.06,657,Western Region
Gujarat,2018,Q4,2018-Q4,Financial Services,133915,30699273.17,229,Western Region
Gujarat,2018,Q4,2018-Q4,Others,316405,207297005.70,655,Western Region
Gujarat,2019,Q1,2019-Q1,Peer-to-peer payments,13465044,31231285551.31,2319,Western Region
Gujarat,2019,Q1,2019-Q1,Recharge & bill payments,8595256,3104251732.65,361,Western Region
Gujarat,2019,Q1,2019-Q1,Merchant payments,2493340,1296376125.18,520,Western Region
Gujarat,2019,Q1,2019-Q1,Financial Services,114539,19581520.57,171,Western Region
Gujarat,2019,Q1,2019-Q1,Others,323272,204585378.77,633,Western Region
Gujarat,2019,Q2,2019-Q2,Peer-to-peer payments,12547493,41853661230.47,3336,Western Region
Gujarat,2019,Q2,2019-Q2,Recharge & bill payments,10434449,4651874823.43,446,Western Region
Gujarat,2019,Q2,2019-Q2,Merchant payments,5486791,2526448415.36,460,Western Region
Gujarat,2019,Q2,2019-Q2,Financial Services,70502,17349813.39,246,Western Region
Gujarat,2019,Q2,2019-Q2,Others,442607,271280936.62,613,Western Region
Gujarat,2019,Q3,2019-Q3,Peer-to-peer payments,14529353,49206585462.02,3387,Western Region
Gujarat,2019,Q3,2019-Q3,Merchant payments,11788077,4211116461.29,357,Western Region
Gujarat,2019,Q3,2019-Q3,Recharge & bill payments,11349625,5768100024.48,508,Western Region
Gujarat,2019,Q3,2019-Q3,Financial Services,78609,20507001.23,261,Western Region
Gujarat,2019,Q3,2019-Q3,Others,482985,256386015.25,531,Western Region
Gujarat,2019,Q4,2019-Q4,Peer-to-peer payments,19107911,64477452638.78,3374,Western Region
Gujarat,2019,Q4,2019-Q4,Recharge & bill payments,12967713,6517891166.72,503,Western Region
Gujarat,2019,Q4,2019-Q4,Merchant payments,9964076,5480269119.72,550,Western Region
Gujarat,2019,Q4,2019-Q4,Financial Services,63498,20202767.26,318,Western Region
Gujarat,2019,Q4,2019-Q4,Others,444434,194846362.43,438,Western Region
Gujarat,2020,Q1,2020-Q1,Peer-to-peer payments,19068093,72393727235.08,3797,Western Region
Gujarat,2020,Q1,2020-Q1,Recharge & bill payments,15648472,7197595156.69,460,Western Region
Gujarat,2020,Q1,2020-Q1,Merchant payments,12191478,7210758662.28,591,Western Region
Gujarat,2020,Q1,2020-Q1,Financial Services,50753,27460255.46,541,Western Region
Gujarat,2020,Q1,2020-Q1,Others,367621,165535312.39,450,Western Region
Gujarat,2020,Q2,2020-Q2,Recharge & bill payments,19971660,8322688556.99,417,Western Region
Gujarat,2020,Q2,2020-Q2,Peer-to-peer payments,17569398,64723140394.23,3684,Western Region
Gujarat,2020,Q2,2020-Q2,Merchant payments,9645967,7196610931.56,746,Western Region
Gujarat,2020,Q2,2020-Q2,Financial Services,59617,53132341.31,891,Western Region
Gujarat,2020,Q2,2020-Q2,Others,173543,92274135.41,532,Western Region
Gujarat,2020,Q3,2020-Q3,Peer-to-peer payments,23130724,89142122337.26,3854,Western Region
Gujarat,2020,Q3,2020-Q3,Merchant payments,18338969,12749796641.79,695,Western Region
Gujarat,2020,Q3,2020-Q3,Recharge & bill payments,17481357,9820654243.81,562,Western Region
Gujarat,2020,Q3,2020-Q3,Financial Services,92278,84723188.62,918,Western Region
Gujarat,2020,Q3,2020-Q3,Others,246851,124456073.24,504,Western Region
Gujarat,2020,Q4,2020-Q4,Peer-to-peer payments,29967258,116743230330.36,3896,Western Region
Gujarat,2020,Q4,2020-Q4,Merchant payments,28430460,20844321156.65,733,Western Region
Gujarat,2020,Q4,2020-Q4,Recharge & bill payments,18943669,10441981826.08,551,Western Region
Gujarat,2020,Q4,2020-Q4,Financial Services,113371,120056733.89,1059,Western Region
Gujarat,2020,Q4,2020-Q4,Others,373789,243470065.46,651,Western Region
Gujarat,2021,Q1,2021-Q1,Peer-to-peer payments,36427493,144818968373.03,3976,Western Region
Gujarat,2021,Q1,2021-Q1,Merchant payments,35815382,26512643894.00,740,Western Region
Gujarat,2021,Q1,2021-Q1,Recharge & bill payments,22088838,11996115292.38,543,Western Region
Gujarat,2021,Q1,2021-Q1,Financial Services,126380,137612317.74,1089,Western Region
Gujarat,2021,Q1,2021-Q1,Others,316472,235440836.30,744,Western Region
Gujarat,2021,Q2,2021-Q2,Merchant payments,42593432,33542305033.83,787,Western Region
Gujarat,2021,Q2,2021-Q2,Peer-to-peer payments,41642387,162483567902.30,3902,Western Region
Gujarat,2021,Q2,2021-Q2,Recharge & bill payments,27127405,13750783181.94,507,Western Region
Gujarat,2021,Q2,2021-Q2,Financial Services,128647,136119996.70,1058,Western Region
Gujarat,2021,Q2,2021-Q2,Others,349525,249278437.34,713,Western Region
Gujarat,2021,Q3,2021-Q3,Merchant payments,62934471,48197579736.52,766,Western Region
Gujarat,2021,Q3,2021-Q3,Peer-to-peer payments,56134212,208013326600.62,3706,Western Region
Gujarat,2021,Q3,2021-Q3,Recharge & bill payments,29580901,15945997372.06,539,Western Region
Gujarat,2021,Q3,2021-Q3,Financial Services,125167,163304131.14,1305,Western Region
Gujarat,2021,Q3,2021-Q3,Others,473656,304418273.25,643,Western Region
Gujarat,2021,Q4,2021-Q4,Merchant payments,84846502,68717933161.87,810,Western Region
Gujarat,2021,Q4,2021-Q4,Peer-to-peer payments,67301686,254338740726.64,3779,Western Region
Gujarat,2021,Q4,2021-Q4,Recharge & bill payments,30072479,18739034341.66,623,Western Region
Gujarat,2021,Q4,2021-Q4,Financial Services,175393,209214620.71,1193,Western Region
Gujarat,2021,Q4,2021-Q4,Others,591265,377657202.75,639,Western Region
Gujarat,2022,Q1,2022-Q1,Merchant payments,101648378,79563412221.78,783,Western Region
Gujarat,2022,Q1,2022-Q1,Peer-to-peer payments,77768758,292439274688.31,3760,Western Region
Gujarat,2022,Q1,2022-Q1,Recharge & bill payments,30473298,20042066374.66,658,Western Region
Gujarat,2022,Q1,2022-Q1,Financial Services,160423,187077879.38,1166,Western Region
Gujarat,2022,Q1,2022-Q1,Others,496289,316261089.41,637,Western Region
Gujarat,2022,Q2,2022-Q2,Merchant payments,131610193,95585623258.24,726,Western Region
Gujarat,2022,Q2,2022-Q2,Peer-to-peer payments,86423696,326945780476.60,3783,Western Region
Gujarat,2022,Q2,2022-Q2,Recharge & bill payments,33424931,23844933238.41,713,Western Region
Gujarat,2022,Q2,2022-Q2,Financial Services,125180,142685436.42,1140,Western Region
Gujarat,2022,Q2,2022-Q2,Others,468796,278978567.18,595,Western Region
Gujarat,2022,Q3,2022-Q3,Merchant payments,161264265,109018764232.99,676,Western Region
Gujarat,2022,Q3,2022-Q3,Peer-to-peer payments,103034790,359338045092.01,3488,Western Region
Gujarat,2022,Q3,2022-Q3,Recharge & bill payments,38383683,28649040040.50,746,Western Region
Gujarat,2022,Q3,2022-Q3,Financial Services,152053,162173602.85,1067,Western Region
Gujarat,2022,Q3,2022-Q3,Others,404941,269479241.10,665,Western Region
Gujarat,2022,Q4,2022-Q4,Merchant payments,186533503,125585214989.03,673,Western Region
Gujarat,2022,Q4,2022-Q4,Peer-to-peer payments,114868478,411053364214.27,3578,Western Region
Gujarat,2022,Q4,2022-Q4,Recharge & bill payments,39167297,30789927498.95,786,Western Region
Gujarat,2022,Q4,2022-Q4,Financial Services,179101,194314203.01,1085,Western Region
Gujarat,2022,Q4,2022-Q4,Others,407639,295484431.28,725,Western Region
Haryana,2018,Q1,2018-Q1,Recharge & bill payments,2368002,535578755.08,226,Northern Region
